Sparks,Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
10.0,17.469473911841355,15.72252652065722,22.710316085393764
11.414141414141413,17.469284116364776,15.7223557047283,22.71006935127421
12.828282828282829,17.469094320888196,15.722184888799378,22.709822617154657
14.242424242424242,17.468904525411617,15.722014072870456,22.709575883035104
15.656565656565657,17.46871472993504,15.721843256941536,22.709329148915554
17.070707070707073,17.46852493445846,15.721672441012615,22.709082414796
18.484848484848484,17.46833513898188,15.721501625083693,22.708835680676447
19.8989898989899,17.468145343505302,15.721330809154772,22.708588946556894
21.313131313131315,17.467955548028723,15.72115999322585,22.70834221243734
22.727272727272727,17.467765752552147,15.720989177296932,22.70809547831779
24.141414141414142,17.467575957075567,15.72081836136801,22.707848744198238
25.555555555555557,17.467386161598988,15.720647545439089,22.707602010078684
26.96969696969697,17.46719636612241,15.720476729510168,22.70735527595913
28.383838383838384,17.467006570645832,15.72030591358125,22.707108541839585
29.7979797979798,17.466816775169253,15.720135097652328,22.70686180772003
31.21212121212121,17.466626979692673,15.719964281723406,22.706615073600478
32.62626262626263,17.466437184216094,15.719793465794485,22.706368339480925
34.04040404040404,17.466247388739514,15.719622649865563,22.70612160536137
35.45454545454545,17.46605759326294,15.719451833936645,22.70587487124182
36.868686868686865,17.46586779778636,15.719281018007724,22.705628137122268
38.282828282828284,17.46567800230978,15.719110202078802,22.705381403002715
39.696969696969695,17.4654882068332,15.71893938614988,22.70513466888316
41.111111111111114,17.465298411356624,15.718768570220963,22.70488793476361
42.525252525252526,17.465108615880045,15.718597754292041,22.70464120064406
43.93939393939394,17.464918820403465,15.71842693836312,22.704394466524505
45.35353535353536,17.464729024926886,15.718256122434198,22.70414773240495
46.76767676767677,17.46453922945031,15.718085306505278,22.703900998285402
48.18181818181818,17.46434943397373,15.717914490576357,22.70365426416585
49.5959595959596,17.46415963849715,15.717743674647435,22.703407530046295
51.01010101010101,17.46396984302057,15.717572858718514,22.703160795926742
52.42424242424242,17.46378004754399,15.717402042789592,22.70291406180719
53.83838383838384,17.463590252067416,15.717231226860674,22.702667327687642
55.25252525252525,17.463400456590836,15.717060410931753,22.70242059356809
56.666666666666664,17.463210661114257,15.716889595002831,22.702173859448536
58.08080808080808,17.463020865637677,15.71671877907391,22.701927125328982
59.494949494949495,17.4628310701611,15.716547963144992,22.701680391209432
60.90909090909091,17.462641274684522,15.71637714721607,22.70143365708988
62.323232323232325,17.462451479207942,15.716206331287149,22.701186922970326
63.73737373737374,17.462261683731363,15.716035515358227,22.700940188850772
65.15151515151516,17.462071888254787,15.715864699429309,22.700693454731223
66.56565656565657,17.461882092778207,15.715693883500387,22.70044672061167
67.97979797979798,17.461692297301628,15.715523067571466,22.700199986492116
69.39393939393939,17.46150250182505,15.715352251642544,22.699953252372563
70.8080808080808,17.46131270634847,15.715181435713623,22.69970651825301
72.22222222222223,17.461122910871893,15.715010619784705,22.699459784133463
73.63636363636363,17.460933115395314,15.714839803855783,22.69921305001391
75.05050505050505,17.460743319918734,15.714668987926862,22.698966315894356
76.46464646464646,17.460553524442155,15.71449817199794,22.698719581774803
77.87878787878788,17.46036372896558,15.71432735606902,22.698472847655253
79.29292929292929,17.460173933489,15.714156540140099,22.6982261135357
80.70707070707071,17.45998413801242,15.713985724211177,22.697979379416147
82.12121212121212,17.45979434253584,15.713814908282256,22.697732645296593
83.53535353535354,17.45960454705926,15.713644092353334,22.69748591117704
84.94949494949495,17.459414751582685,15.713473276424416,22.69723917705749
86.36363636363636,17.459224956106105,15.713302460495495,22.696992442937937
87.77777777777777,17.459035160629526,15.713131644566573,22.696745708818383
89.1919191919192,17.458845365152946,15.712960828637652,22.69649897469883
90.60606060606061,17.45865556967637,15.712790012708734,22.696252240579284
92.02020202020202,17.45846577419979,15.712619196779812,22.69600550645973
93.43434343434343,17.45827597872321,15.71244838085089,22.695758772340177
94.84848484848484,17.458086183246632,15.712277564921969,22.695512038220624
96.26262626262626,17.457896387770056,15.712106748993051,22.695265304101074
97.67676767676768,17.457706592293476,15.71193593306413,22.69501856998152
99.0909090909091,17.457516796816897,15.711765117135208,22.694771835861967
100.5050505050505,17.457327001340317,15.711594301206286,22.694525101742414
101.91919191919192,17.457137205863738,15.711423485277365,22.69427836762286
103.33333333333333,17.456947410387162,15.711252669348447,22.69403163350331
104.74747474747475,17.456757614910583,15.711081853419525,22.693784899383758
106.16161616161617,17.456567819434003,15.710911037490604,22.693538165264204
107.57575757575758,17.456378023957424,15.710740221561682,22.69329143114465
108.98989898989899,17.456188228480848,15.710569405632762,22.6930446970251
110.4040404040404,17.455998433004268,15.710398589703841,22.692797962905548
111.81818181818181,17.45580863752769,15.71022777377492,22.692551228785995
113.23232323232324,17.45561884205111,15.710056957845998,22.69230449466644
114.64646464646465,17.45542904657453,15.709886141917076,22.692057760546888
116.06060606060606,17.455239251097954,15.709715325988158,22.69181102642734
117.47474747474747,17.455049455621374,15.709544510059237,22.69156429230779
118.88888888888889,17.454859660144795,15.709373694130315,22.691317558188235
120.3030303030303,17.454669864668215,15.709202878201394,22.69107082406868
121.71717171717172,17.45448006919164,15.709032062272476,22.690824089949132
123.13131313131314,17.45429027371506,15.708861246343554,22.69057735582958
124.54545454545455,17.45410047823848,15.708690430414633,22.690330621710025
125.95959595959596,17.4539106827619,15.708519614485711,22.690083887590472
127.37373737373737,17.453720887285325,15.708348798556793,22.689837153470922
128.78787878787878,17.453531091808745,15.708177982627872,22.68959041935137
130.2020202020202,17.453341296332166,15.70800716669895,22.689343685231815
131.6161616161616,17.453151500855586,15.707836350770028,22.689096951112262
133.03030303030303,17.452961705379007,15.707665534841107,22.68885021699271
134.44444444444446,17.45277190990243,15.707494718912189,22.688603482873162
135.85858585858585,17.45258211442585,15.707323902983267,22.68835674875361
137.27272727272725,17.452392318949272,15.707153087054346,22.688110014634056
138.68686868686868,17.452202523472693,15.706982271125424,22.687863280514502
140.1010101010101,17.452012727996117,15.706811455196505,22.687616546394953
141.5151515151515,17.451822932519537,15.706640639267583,22.6873698122754
142.92929292929293,17.451633137042958,15.706469823338661,22.687123078155846
144.34343434343435,17.451443341566378,15.70629900740974,22.686876344036293
145.75757575757575,17.451253546089802,15.706128191480822,22.686629609916743
147.17171717171718,17.451063750613223,15.7059573755519,22.68638287579719
148.58585858585857,17.450873955136643,15.705786559622979,22.686136141677636
150.0,17.450684159660064,15.705615743694057,22.685889407558083
