log Total_Ejecta_Mass_(solmass),Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
-0.08107261459484345,0.8133814914684113,0.6507051931747291,0.9760577897620936
-0.0798371136538048,0.8153143492826852,0.6522514794261483,0.9783772191392222
-0.07860161271276617,0.8172384394245897,0.6537907515396718,0.9806861273095077
-0.07736611177172752,0.8191537618941249,0.6553230095153,0.9829845142729499
-0.07613061083068887,0.8210603166912909,0.6568482533530328,0.985272380029549
-0.07489510988965022,0.8229581038160875,0.65836648305287,0.987366386
-0.07365960894861157,0.8248471232685148,0.6598776986148119,0.987366386
-0.07242410800757293,0.8267273750485727,0.6613819000388582,0.987366386
-0.07118860706653428,0.8285988591562614,0.6628790873250092,0.987366386
-0.06995310612549563,0.8304615755915807,0.6643692604732646,0.987366386
-0.06871760518445699,0.8323155243545308,0.6658524194836247,0.987366386
-0.06748210424341834,0.8341607054451116,0.6673285643560893,0.987366386
-0.06624660330237969,0.8359971188633231,0.6687976950906585,0.987366386
-0.06501110236134104,0.8378247646091651,0.6702598116873322,0.987366386
-0.06377560142030239,0.8396436426826379,0.6717149141461104,0.987366386
-0.06254010047926375,0.8414537530837414,0.6731630024669931,0.987366386
-0.061304599538225105,0.8432550958124756,0.6746040766499806,0.987366386
-0.060069098597186454,0.8450476708688405,0.6760381366950724,0.987366386
-0.05883359765614781,0.846831478252836,0.6774651826022688,0.987366386
-0.05759809671510917,0.8486065179644623,0.6788852143715699,0.987366386
-0.05636259577407052,0.8503727900037192,0.6802982320029755,0.987366386
-0.05512709483303187,0.8521302943706068,0.6817042354964855,0.987366386
-0.053891593891993224,0.8538790310651252,0.6831032248521002,0.987366386
-0.05265609295095458,0.8556190000872742,0.6844952000698195,0.987366386
-0.05142059200991593,0.8573502014370539,0.6858801611496431,0.987366386
-0.05018509106887728,0.8590726351144643,0.6872581080915715,0.987366386
-0.04894959012783864,0.8607863011195053,0.6886290408956043,0.987366386
-0.04771408918679999,0.8624911994521771,0.6899929595617418,0.987366386
-0.04647858824576134,0.8641873301124795,0.6913498640899837,0.987366386
-0.04524308730472269,0.8658746931004127,0.6926997544803302,0.987366386
-0.04400758636368405,0.8675532884159765,0.6940426307327812,0.987366386
-0.042772085422645406,0.869223116059171,0.6953784928473369,0.987366386
-0.041536584481606756,0.8708841760299962,0.696707340823997,0.987366386
-0.040301083540568106,0.8725364683284521,0.6980291746627617,0.987366386
-0.03906558259952946,0.8741799929545386,0.6993439943636309,0.987366386
-0.03783008165849082,0.8758147499082559,0.7006517999266048,0.987366386
-0.03659458071745217,0.8774407391896039,0.7019525913516831,0.987366386
-0.03535907977641352,0.8790579607985826,0.7032463686388661,0.987366386
-0.034123578835374875,0.8806664147351919,0.7045331317881536,0.987366386
-0.03288807789433623,0.8822661009994319,0.7058128807995456,0.987366386
-0.03165257695329758,0.8838570195913026,0.7070856156730421,0.987366386
-0.03041707601225893,0.885439170510804,0.7083513364086432,0.987366386
-0.029181575071220288,0.8870125537579361,0.7096100430063489,0.987366386
-0.027946074130181645,0.8885771693326989,0.7108617354661592,0.987366386
-0.026710573189142994,0.8901330172350923,0.7121064137880739,0.987366386
-0.025475072248104344,0.8916800974651165,0.7133440779720932,0.987366386
-0.0242395713070657,0.8932184100227714,0.7145747280182171,0.987366386
-0.023004070366027057,0.8947479549080568,0.7157983639264455,0.987366386
-0.021768569424988407,0.8962687321209731,0.7170149856967786,0.987366386
-0.020533068483949757,0.89778074166152,0.7182245933292161,0.987366386
-0.019297567542911113,0.8992839835296976,0.7194271868237582,0.987366386
-0.01806206660187247,0.9007784577255059,0.7206227661804048,0.987366386
-0.01682656566083382,0.9022641642489448,0.7218113313991559,0.987366386
-0.01559106471979517,0.9037411031000145,0.7229928824800117,0.987366386
-0.014355563778756533,0.9052092742787149,0.7241674194229719,0.987366386
-0.013120062837717883,0.9066686777850459,0.7253349422280367,0.987366386
-0.011884561896679233,0.9081193136190077,0.7264954508952062,0.987366386
-0.010649060955640582,0.9095611817806001,0.7276489454244801,0.987366386
-0.009413560014601932,0.9109942822698232,0.7287954258158585,0.987366386
-0.008178059073563296,0.912418615086677,0.7299348920693416,0.987366386
-0.0069425581325246455,0.9138341802311615,0.7310673441849292,0.987366386
-0.005707057191485995,0.9152409777032766,0.7321927821626213,0.987366386
-0.004471556250447359,0.9166390075030224,0.733311206002418,0.987366386
-0.0032360553094087086,0.918028269630399,0.7344226157043192,0.987366386
-0.0020005543683700583,0.9194087640854063,0.7355270112683251,0.987366386
-0.000765053427331408,0.9207804908680441,0.7366243926944354,0.987366386
0.00047044751370724225,0.9221434499783128,0.7377147599826502,0.987366386
0.0017059484547458786,0.923497641416212,0.7387981131329697,0.987366386
0.002941449395784529,0.9248430651817421,0.7398744521453937,0.987366386
0.004176950336823179,0.9261797212749028,0.7409437770199223,0.987366386
0.005412451277861816,0.9275076096956941,0.7420060877565553,0.987366386
0.006647952218900466,0.9288267304441162,0.743061384355293,0.987366386
0.007883453159939116,0.930137083520169,0.7441096668161352,0.987366386
0.009118954100977766,0.9314386689238524,0.7451509351390819,0.987366386
0.010354455042016417,0.9327314866551665,0.7461851893241332,0.987366386
0.011589955983055053,0.9340155367141113,0.7472124293712891,0.987366386
0.012825456924093703,0.9352908191006868,0.7482326552805495,0.987366386
0.014060957865132354,0.936557333814893,0.7492458670519144,0.987366386
0.01529645880617099,0.9378150808567299,0.750252064685384,0.987366386
0.01653195974720964,0.9390640602261975,0.751251248180958,0.987366386
0.01776746068824829,0.9403042719232957,0.7522434175386365,0.987366386
0.01900296162928694,0.9415357159480247,0.7532285727584198,0.987366386
0.02023846257032559,0.9427583923003843,0.7542067138403075,0.987366386
0.021473963511364227,0.9439723009803747,0.7551778407842997,0.987366386
0.022709464452402878,0.9451774419879956,0.7561419535903965,0.987366386
0.023944965393441528,0.9463738153232473,0.7570990522585979,0.987366386
0.025180466334480164,0.9475614209861297,0.7580491367889038,0.987366386
0.026415967275518815,0.9487402589766428,0.7589922071813143,0.987366386
0.027651468216557465,0.9499103292947866,0.7599282634358293,0.987366386
0.028886969157596115,0.951071631940561,0.7608573055524488,0.987366386
0.030122470098634765,0.9522241669139662,0.761779333531173,0.987366386
0.0313579710396734,0.953367934215002,0.7626943473720016,0.987366386
0.03259347198071205,0.9545029338436685,0.7636023470749348,0.987366386
0.0338289729217507,0.9556291657999657,0.7645033326399726,0.987366386
0.03506447386278934,0.9567466300838936,0.7653973040671149,0.987366386
0.03629997480382799,0.9578553266954521,0.7662842613563617,0.987366386
0.03753547574486664,0.9589552556346415,0.7671642045077132,0.987366386
0.03877097668590529,0.9600464169014614,0.7680371335211692,0.987366386
0.04000647762694394,0.961128810495912,0.7689030483967296,0.987366386
0.04124197856798258,0.9622024364179934,0.7697619491343948,0.987366386
